DATETIME_ID,Date,province,eNodeB,IPTHP_DL,IPTHP_UL
2022040100,4/1/2022,Tp Ho Chi Minh,H01020,12428.46,1855.44
2022050100,5/1/2022,Tp Ho Chi Minh,H01020,24765.81,1742.02
2022060100,6/1/2022,Tp Ho Chi Minh,H01020,10787.43,1124.82
2022070100,7/1/2022,Tp Ho Chi Minh,H01020,9520.95,3619.58
2022040200,4/2/2022,Tp Ho Chi Minh,H01020,24242.5,2059.36
2022050200,5/2/2022,Tp Ho Chi Minh,H01020,34630.01,2371.8
2022060200,6/2/2022,Tp Ho Chi Minh,H01020,10960.23,889.51
2022070200,7/2/2022,Tp Ho Chi Minh,H01020,8758.71,3423.6
2022040300,4/3/2022,Tp Ho Chi Minh,H01020,28747.4,1564.44
2022050300,5/3/2022,Tp Ho Chi Minh,H01020,32588.28,2430.61
2022060300,6/3/2022,Tp Ho Chi Minh,H01020,11262.96,1006.67
2022070300,7/3/2022,Tp Ho Chi Minh,H01020,8520.06,4222.47
2022040400,4/4/2022,Tp Ho Chi Minh,H01020,10142.24,1250.45
2022050400,5/4/2022,Tp Ho Chi Minh,H01020,15297.14,1304
2022060400,6/4/2022,Tp Ho Chi Minh,H01020,22865.42,973.73
2022070400,7/4/2022,Tp Ho Chi Minh,H01020,10643.97,3750.3
2022040500,4/5/2022,Tp Ho Chi Minh,H01020,10845.51,1408.43
2022050500,5/5/2022,Tp Ho Chi Minh,H01020,14579.88,1754.65
2022060500,6/5/2022,Tp Ho Chi Minh,H01020,14894.07,1543.64
2022070500,7/5/2022,Tp Ho Chi Minh,H01020,10698.12,5151.65
2022040600,4/6/2022,Tp Ho Chi Minh,H01020,11566.65,1312.65
2022050600,5/6/2022,Tp Ho Chi Minh,H01020,13050.33,1392.46
2022060600,6/6/2022,Tp Ho Chi Minh,H01020,9494.41,994
2022070600,7/6/2022,Tp Ho Chi Minh,H01020,9827.09,3732.84
2022040700,4/7/2022,Tp Ho Chi Minh,H01020,11758.26,1406.49
2022050700,5/7/2022,Tp Ho Chi Minh,H01020,15670.06,1847.44
2022060700,6/7/2022,Tp Ho Chi Minh,H01020,9825.36,1011.89
2022070700,7/7/2022,Tp Ho Chi Minh,H01020,9969.65,3681.25
2022040800,4/8/2022,Tp Ho Chi Minh,H01020,11503.94,1287.98
2022050800,5/8/2022,Tp Ho Chi Minh,H01020,11784.55,1573.19
2022060800,6/8/2022,Tp Ho Chi Minh,H01020,8434.9,1061.03
2022070800,7/8/2022,Tp Ho Chi Minh,H01020,9598.4,4251.71
2022040900,4/9/2022,Tp Ho Chi Minh,H01020,30632.27,1533.66
2022050900,5/9/2022,Tp Ho Chi Minh,H01020,13044.36,925.83
2022060900,6/9/2022,Tp Ho Chi Minh,H01020,9166.42,935.16
2022070900,7/9/2022,Tp Ho Chi Minh,H01020,13181.68,4133.87
2022041000,4/10/2022,Tp Ho Chi Minh,H01020,13171.57,1323.75
2022051000,5/10/2022,Tp Ho Chi Minh,H01020,12106.36,1011.22
2022061000,6/10/2022,Tp Ho Chi Minh,H01020,9015.12,1445.29
2022071000,7/10/2022,Tp Ho Chi Minh,H01020,10457.06,6340.56
2022041100,4/11/2022,Tp Ho Chi Minh,H01020,30445.91,1612.84
2022051100,5/11/2022,Tp Ho Chi Minh,H01020,10473.95,1307.25
2022061100,6/11/2022,Tp Ho Chi Minh,H01020,8524.02,1116.69
2022071100,7/11/2022,Tp Ho Chi Minh,H01020,11233.55,4777.97
