Date,Visite
11/20/2013,32
11/21/2013,27
11/22/2013,30
11/23/2013,25
11/24/2013,14
11/25/2013,41
11/26/2013,32
11/27/2013,48
11/28/2013,22
11/29/2013,26
11/30/2013,23
12/1/2013,27
12/2/2013,40
12/3/2013,42
12/4/2013,46
12/5/2013,49
12/6/2013,26
12/7/2013,15
12/8/2013,20
12/9/2013,33
12/10/2013,32
12/11/2013,46
12/12/2013,32
12/13/2013,38
12/14/2013,27
12/15/2013,31
12/16/2013,65
12/17/2013,33
12/18/2013,42
12/19/2013,46
12/20/2013,37
12/21/2013,20
12/22/2013,23
12/23/2013,37
12/24/2013,30
12/25/2013,16
12/26/2013,33
12/27/2013,28
12/28/2013,37
12/29/2013,18
12/30/2013,38
12/31/2013,32
1/1/2014,16
1/2/2014,31
1/3/2014,34
1/4/2014,25
1/5/2014,27
1/6/2014,47
1/7/2014,48
1/8/2014,43
1/9/2014,44
1/10/2014,46
1/11/2014,25
1/12/2014,31
1/13/2014,40
1/14/2014,45
1/15/2014,46
1/16/2014,48
1/17/2014,33
1/18/2014,29
1/19/2014,26
1/20/2014,43
1/21/2014,71
1/22/2014,43
1/23/2014,51
1/24/2014,34
1/25/2014,25
1/26/2014,30
1/27/2014,47
1/28/2014,49
1/29/2014,49
1/30/2014,48
1/31/2014,40
2/1/2014,36
2/2/2014,33
2/3/2014,45
2/4/2014,53
2/5/2014,48
2/6/2014,30
2/7/2014,34
2/8/2014,20
2/9/2014,18
2/10/2014,37
2/11/2014,47
2/12/2014,35
2/13/2014,52
2/14/2014,50
2/15/2014,27
2/16/2014,27
2/17/2014,55
2/18/2014,58
2/19/2014,51
2/20/2014,51
2/21/2014,52
2/22/2014,37
2/23/2014,36
2/24/2014,44
2/25/2014,51
2/26/2014,55
2/27/2014,48
2/28/2014,54
3/1/2014,35
3/2/2014,37
3/3/2014,60
3/4/2014,54
3/5/2014,57
3/6/2014,40
3/7/2014,35
3/8/2014,22
3/9/2014,34
3/10/2014,50
3/11/2014,64
3/12/2014,45
3/13/2014,50
3/14/2014,59
3/15/2014,29
3/16/2014,23
3/17/2014,60
3/18/2014,56
3/19/2014,58
3/20/2014,53
3/21/2014,70
3/22/2014,37
3/23/2014,28
3/24/2014,61
3/25/2014,74
3/26/2014,36
3/27/2014,51
3/28/2014,52
3/29/2014,30
3/30/2014,31
3/31/2014,59
4/1/2014,73
4/2/2014,64
4/3/2014,82
4/4/2014,63
4/5/2014,37
4/6/2014,53
4/7/2014,89
4/8/2014,89
4/9/2014,84
4/10/2014,96
4/11/2014,71
4/12/2014,55
4/13/2014,63
4/14/2014,106
4/15/2014,76
4/16/2014,102
4/17/2014,113
4/18/2014,59
4/19/2014,49
4/20/2014,50
4/21/2014,71
4/22/2014,96
4/23/2014,99
4/24/2014,100
4/25/2014,71
4/26/2014,58
4/27/2014,46
4/28/2014,83
4/29/2014,66
4/30/2014,83
5/1/2014,61
5/2/2014,67
5/3/2014,58
5/4/2014,46
5/5/2014,83
5/6/2014,76
5/7/2014,83
5/8/2014,67
5/9/2014,74
5/10/2014,49
5/11/2014,48
5/12/2014,74
5/13/2014,89
5/14/2014,86
5/15/2014,65
5/16/2014,78
5/17/2014,49
5/18/2014,61
5/19/2014,81
5/20/2014,98
5/21/2014,93
5/22/2014,76
5/23/2014,65
5/24/2014,46
5/25/2014,37
5/26/2014,89
5/27/2014,105
5/28/2014,87
5/29/2014,77
5/30/2014,61
5/31/2014,47
6/1/2014,48
6/2/2014,81
6/3/2014,75
6/4/2014,91
6/5/2014,91
6/6/2014,77
6/7/2014,48
6/8/2014,29
6/9/2014,85
6/10/2014,102
6/11/2014,95
6/12/2014,94
6/13/2014,78
6/14/2014,46
6/15/2014,58
6/16/2014,88
6/17/2014,107
6/18/2014,114
6/19/2014,71
6/20/2014,82
6/21/2014,49
6/22/2014,45
6/23/2014,92
6/24/2014,99
6/25/2014,79
6/26/2014,76
6/27/2014,86
6/28/2014,49
6/29/2014,44
6/30/2014,77
7/1/2014,94
7/2/2014,100
7/3/2014,91
7/4/2014,70
7/5/2014,51
7/6/2014,37
7/7/2014,88
7/8/2014,90
7/9/2014,105
7/10/2014,89
7/11/2014,76
7/12/2014,48
7/13/2014,42
7/14/2014,91
7/15/2014,101
7/16/2014,101
7/17/2014,75
7/18/2014,93
7/19/2014,49
7/20/2014,36
7/21/2014,92
7/22/2014,75
7/23/2014,122
7/24/2014,85
7/25/2014,86
7/26/2014,61
7/27/2014,45
7/28/2014,90
7/29/2014,101
7/30/2014,86
7/31/2014,77
8/1/2014,94
8/2/2014,45
8/3/2014,45
8/4/2014,70
8/5/2014,105
8/6/2014,103
8/7/2014,105
8/8/2014,63
8/9/2014,26
8/10/2014,48
8/11/2014,86
8/12/2014,80
8/13/2014,86
8/14/2014,73
8/15/2014,71
8/16/2014,42
8/17/2014,58
8/18/2014,92
8/19/2014,86
8/20/2014,90
8/21/2014,81
8/22/2014,76
8/23/2014,74
8/24/2014,50
8/25/2014,77
8/26/2014,83
8/27/2014,79
8/28/2014,76
8/29/2014,57
8/30/2014,32
8/31/2014,46
9/1/2014,61
9/2/2014,72
9/3/2014,91
9/4/2014,79
9/5/2014,63
9/6/2014,38
